WIDTH,HEIGHT,TOTAL ACTUAL WEIGHT,TOTAL BLANK WEIGHT
600,240,1.04,1.18
630,240,1.10,1.24
660,240,1.16,1.30
690,240,1.20,1.36
720,240,1.26,1.42
750,240,1.32,1.48
780,240,1.37,1.54
810,240,1.43,1.60
840,240,1.47,1.67
870,240,1.53,1.73
900,240,1.59,1.79
930,240,1.65,1.85
960,240,1.71,1.91
990,240,1.75,1.97
1020,240,1.80,2.03
1050,240,1.86,2.09
1080,240,1.92,2.16
1110,240,1.98,2.22
1140,240,2.02,2.28
1170,240,2.08,2.34
1200,240,2.14,2.40
600,270,1.20,1.34
630,270,1.27,1.41
660,270,1.34,1.48
690,270,1.38,1.55
720,270,1.45,1.62
750,270,1.52,1.69
780,270,1.58,1.76
810,270,1.65,1.83
840,270,1.70,1.90
870,270,1.77,1.97
900,270,1.83,2.04
930,270,1.90,2.11
960,270,1.97,2.18
990,270,2.02,2.25
1020,270,2.08,2.32
1050,270,2.15,2.38
1080,270,2.22,2.45
1110,270,2.28,2.52
1140,270,2.33,2.59
1170,270,2.40,2.66
1200,270,2.47,2.73
600,300,1.36,1.50
630,300,1.44,1.58
660,300,1.51,1.66
690,300,1.57,1.74
720,300,1.64,1.82
750,300,1.72,1.89
780,300,1.80,1.97
810,300,1.87,2.05
840,300,1.93,2.13
870,300,2.00,2.21
900,300,2.08,2.28
930,300,2.15,2.36
960,300,2.23,2.44
990,300,2.29,2.52
1020,300,2.36,2.60
1050,300,2.44,2.67
1080,300,2.51,2.75
1110,300,2.59,2.83
1140,300,2.65,2.91
1170,300,2.72,2.99
1200,300,2.80,3.07
600,330,1.52,1.67
630,330,1.61,1.75
660,330,1.69,1.84
690,330,1.76,1.93
720,330,1.84,2.01
750,330,1.92,2.10
780,330,2.01,2.19
810,330,2.09,2.27
840,330,2.16,2.36
870,330,2.24,2.45
900,330,2.32,2.53
930,330,2.41,2.62
960,330,2.49,2.71
990,330,2.56,2.79
1020,330,2.64,2.88
1050,330,2.72,2.96
1080,330,2.81,3.05
1110,330,2.89,3.14
1140,330,2.96,3.22
1170,330,3.04,3.31
1200,330,3.13,3.40
600,360,1.63,1.83
630,360,1.72,1.92
660,360,1.81,2.02
690,360,1.87,2.11
720,360,1.96,2.21
750,360,2.05,2.30
780,360,2.15,2.40
810,360,2.24,2.49
840,360,2.30,2.59
870,360,2.39,2.68
900,360,2.48,2.78
930,360,2.57,2.87
960,360,2.66,2.97
990,360,2.72,3.06
1020,360,2.81,3.16
1050,360,2.91,3.26
1080,360,3.00,3.35
1110,360,3.09,3.45
1140,360,3.15,3.54
1170,360,3.24,3.64
1200,360,3.33,3.73
600,390,1.79,1.99
630,390,1.89,2.09
660,390,1.99,2.20
690,390,2.06,2.30
720,390,2.16,2.41
750,390,2.26,2.51
780,390,2.36,2.61
810,390,2.46,2.72
840,390,2.52,2.82
870,390,2.62,2.92
900,390,2.73,3.03
930,390,2.83,3.13
960,390,2.93,3.23
990,390,2.99,3.34
1020,390,3.09,3.44
1050,390,3.19,3.55
1080,390,3.29,3.65
1110,390,3.39,3.75
1140,390,3.46,3.86
1170,390,3.56,3.96
1200,390,3.66,4.06
600,420,1.95,2.15
630,420,2.06,2.27
660,420,2.17,2.38
690,420,2.24,2.49
720,420,2.35,2.60
750,420,2.46,2.71
780,420,2.57,2.83
810,420,2.68,2.94
840,420,2.75,3.05
870,420,2.86,3.16
900,420,2.97,3.27
930,420,3.08,3.39
960,420,3.19,3.50
990,420,3.26,3.61
1020,420,3.37,3.72
1050,420,3.48,3.84
1080,420,3.59,3.95
1110,420,3.70,4.06
1140,420,3.77,4.17
1170,420,3.88,4.28
1200,420,3.99,4.40
600,450,2.11,2.32
630,450,2.23,2.44
660,450,2.34,2.56
690,450,2.43,2.68
